filename,file_path,title,artist,album,album_artist,year,date,genre,subgenre,mood,moods,energy,valence,danceability,key,language,instruments,vocals,themes,occasion,weather,season,age_group,track_number,disc_number,composer,publisher,copyright,bpm,isrc,label,catalog_number,has_cover_art,cover_art_url,quality_score,validation_status,missing_tags,sources
ATYPISK - Kærlighed.mp3,/app/input_media/ATYPISK - Kærlighed.mp3,Kærlighed,ATYPISK,Kærlighed,ATYPISK,2019,2019-11-28,pop,popular music,balanced,balanced,medium,0.58,0.414,D major,unknown,mixed instrumentation,vocal,balanced music,retail background,all weather,all season,general,1,1,ATYPISK,ATYPISK,(c) 2019 ATYPISK,115,not listed in free sources,ATYPISK,not listed in free sources,yes,embedded or not listed in free sources,0.767,completed_with_inference,none,"{""title"": ""lastfm, local_cleanup"", ""date"": ""existing_file_tag"", ""year"": ""deezer, existing_file_tag, itunes"", ""artist"": ""deezer, itunes, lastfm, local_cleanup"", ""album_artist"": ""deezer, itunes"", ""danceability"": ""essentia_features"", ""key"": ""essentia_features"", ""bpm"": ""essentia_features, rules_inference"", ""analysis_summary"": ""essentia_features"", ""album"": ""final_completion"", ""track_number"": ""final_completion"", ""disc_number"": ""final_completion"", ""energy"": ""final_completion"", ""mood"": ""final_completion"", ""moods"": ""final_completion"", ""valence"": ""final_completion"", ""occasion"": ""final_completion"", ""themes"": ""final_completion"", ""weather"": ""final_completion"", ""season"": ""final_completion"", ""age_group"": ""final_completion"", ""vocals"": ""final_completion"", ""instruments"": ""final_completion"", ""language"": ""final_completion"", ""label"": ""final_completion"", ""publisher"": ""final_completion"", ""composer"": ""final_completion"", ""copyright"": ""final_completion"", ""comment"": ""final_completion"", ""isrc"": ""final_completion"", ""catalog_number"": ""final_completion"", ""cover_art_url"": ""final_completion""}"
Anne Linnet - Tusind Stykker.mp3,/app/input_media/Anne Linnet - Tusind Stykker.mp3,Tusind stykker,Anne Linnet,Jeg Er Jo Lige Her,Anne Linnet,1988,1988,Pop,Pop,mainstream,mainstream,medium,0.58,0.379,Ab major,English,mixed instrumentation,vocal,mainstream Pop,retail background,all weather,all season,youth/adult,1,1,Anne Linnet,Pladecompagniet,(c) 1988 Pladecompagniet,128,DKAXA8800018,Pladecompagniet,88697980002,yes,https://lastfm.freetls.fastly.net/i/u/300x300/dc797635b0e34ac4a01c7e4578d57c4e.png,0.884,validated,none,"{""title"": ""deezer, musicbrainz"", ""artist"": ""deezer, existing_file_tag, itunes, lastfm, local_cleanup, musicbrainz"", ""date"": ""discogs, musicbrainz"", ""year"": ""discogs, itunes, musicbrainz"", ""album"": ""discogs, itunes, lastfm"", ""album_artist"": ""deezer, itunes, musicbrainz"", ""genre"": ""deezer, discogs, itunes"", ""track_number"": ""discogs, itunes, musicbrainz"", ""disc_number"": ""itunes, musicbrainz"", ""cover_art_url"": ""lastfm"", ""label"": ""discogs, musicbrainz"", ""catalog_number"": ""musicbrainz"", ""composer"": ""musicbrainz"", ""isrc"": ""musicbrainz"", ""comment"": ""musicbrainz"", ""danceability"": ""essentia_features"", ""key"": ""essentia_features"", ""bpm"": ""essentia_features, rules_inference"", ""analysis_summary"": ""essentia_features"", ""mood"": ""rules_inference"", ""energy"": ""rules_inference"", ""moods"": ""final_completion"", ""subgenre"": ""final_completion"", ""valence"": ""final_completion"", ""occasion"": ""final_completion"", ""themes"": ""final_completion"", ""weather"": ""final_completion"", ""season"": ""final_completion"", ""age_group"": ""final_completion"", ""vocals"": ""final_completion"", ""instruments"": ""final_completion"", ""language"": ""final_completion"", ""publisher"": ""final_completion"", ""copyright"": ""final_completion""}"
Baloosh x Omar - Danser Med Dæmoner.mp3,/app/input_media/Baloosh x Omar - Danser Med Dæmoner.mp3,Danser Med Dæmoner,Baloosh x Omar,Danser Med Dæmoner,Baloosh x Omar,2023,2023-11-02,pop,popular music,energetic,energetic,high,0.68,0.408,Bb major,unknown,mixed instrumentation,vocal,energetic music,busy store,all weather,all season,general,1,1,Baloosh x Omar,Baloosh x Omar,(c) 2023 Baloosh x Omar,140,not listed in free sources,Baloosh x Omar,not listed in free sources,yes,embedded or not listed in free sources,0.771,completed_with_inference,none,"{""title"": ""lastfm, local_cleanup"", ""date"": ""existing_file_tag"", ""year"": ""existing_file_tag"", ""artist"": ""lastfm, local_cleanup"", ""danceability"": ""essentia_features"", ""key"": ""essentia_features"", ""bpm"": ""essentia_features, rules_inference"", ""analysis_summary"": ""essentia_features"", ""mood"": ""rules_inference"", ""energy"": ""rules_inference"", ""album_artist"": ""final_completion"", ""album"": ""final_completion"", ""moods"": ""final_completion"", ""track_number"": ""final_completion"", ""disc_number"": ""final_completion"", ""valence"": ""final_completion"", ""occasion"": ""final_completion"", ""themes"": ""final_completion"", ""weather"": ""final_completion"", ""season"": ""final_completion"", ""age_group"": ""final_completion"", ""vocals"": ""final_completion"", ""instruments"": ""final_completion"", ""language"": ""final_completion"", ""label"": ""final_completion"", ""publisher"": ""final_completion"", ""composer"": ""final_completion"", ""copyright"": ""final_completion"", ""comment"": ""final_completion"", ""isrc"": ""final_completion"", ""catalog_number"": ""final_completion"", ""cover_art_url"": ""final_completion""}"
"Benny Jamz, Gilli, Kesi - Ibiza.mp3","/app/input_media/Benny Jamz, Gilli, Kesi - Ibiza.mp3",Ibiza,"Benny Jamz, Gilli, KESI & B.O.C",Mere End Musik,"Benny Jamz, Gilli, KESI & B.O.C",2021,2021-06-18,pop,popular music,energetic,energetic,high,0.68,0.424,A minor,English,mixed instrumentation,vocal,energetic music,busy store,all weather,all season,general,5,1,"Benny Jamz, Gilli, KESI & B.O.C",disco:wax,(c) 2021 disco:wax,133,not listed in free sources,disco:wax,None,yes,https://coverartarchive.org/release/899e79bb-2127-4cd2-ae46-f4711ab5cdbd/39368035446.jpg,0.867,completed_with_inference,none,"{""title"": ""lastfm, local_cleanup, musicbrainz"", ""date"": ""deezer, itunes, musicbrainz"", ""year"": ""deezer, existing_file_tag, itunes, musicbrainz"", ""artist"": ""musicbrainz"", ""album"": ""musicbrainz"", ""album_artist"": ""musicbrainz"", ""track_number"": ""itunes, musicbrainz"", ""disc_number"": ""itunes, musicbrainz"", ""cover_art_url"": ""cover_art_archive"", ""label"": ""musicbrainz"", ""catalog_number"": ""musicbrainz"", ""danceability"": ""essentia_features"", ""key"": ""essentia_features"", ""bpm"": ""essentia_features, rules_inference"", ""analysis_summary"": ""essentia_features"", ""mood"": ""rules_inference"", ""energy"": ""rules_inference"", ""moods"": ""final_completion"", ""valence"": ""final_completion"", ""occasion"": ""final_completion"", ""themes"": ""final_completion"", ""weather"": ""final_completion"", ""season"": ""final_completion"", ""age_group"": ""final_completion"", ""vocals"": ""final_completion"", ""instruments"": ""final_completion"", ""language"": ""final_completion"", ""publisher"": ""final_completion"", ""composer"": ""final_completion"", ""copyright"": ""final_completion"", ""comment"": ""final_completion"", ""isrc"": ""final_completion""}"
Bro - Sydpå.mp3,/app/input_media/Bro - Sydpå.mp3,Sydpå,Bro,Sydpå,Bro,2018,2018-02-02,Pop,Pop,mainstream,mainstream,medium,0.58,0.407,Bb major,unknown,mixed instrumentation,vocal,mainstream Pop,retail background,all weather,all season,youth/adult,1,1,"Anis Basim Moujahid, Carl Altino",Universal,(c) 2018 Universal,100,not listed in free sources,Universal,none,yes,https://i.discogs.com/5Nqn9lLAkvYzq7Nkxd51MeArjyf_UJKuuP_fxpG0AdM/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTExNzI3/NTM4LTE1MjEzNjc2/NzktNzE5NS5qcGVn.jpeg,0.889,validated,none,"{""title"": ""deezer, itunes, lastfm, local_cleanup, musicbrainz"", ""date"": ""discogs, itunes, musicbrainz"", ""year"": ""deezer, discogs, existing_file_tag, itunes, musicbrainz"", ""artist"": ""deezer, itunes, lastfm, local_cleanup, musicbrainz"", ""album"": ""deezer, discogs, musicbrainz"", ""album_artist"": ""deezer, itunes, musicbrainz"", ""genre"": ""deezer, discogs, itunes"", ""track_number"": ""discogs, itunes, musicbrainz"", ""disc_number"": ""itunes, musicbrainz"", ""cover_art_url"": ""discogs"", ""composer"": ""discogs"", ""label"": ""discogs"", ""catalog_number"": ""discogs"", ""danceability"": ""essentia_features"", ""key"": ""essentia_features"", ""bpm"": ""essentia_features, rules_inference"", ""analysis_summary"": ""essentia_features"", ""mood"": ""rules_inference"", ""energy"": ""rules_inference"", ""moods"": ""final_completion"", ""subgenre"": ""final_completion"", ""valence"": ""final_completion"", ""occasion"": ""final_completion"", ""themes"": ""final_completion"", ""weather"": ""final_completion"", ""season"": ""final_completion"", ""age_group"": ""final_completion"", ""vocals"": ""final_completion"", ""instruments"": ""final_completion"", ""language"": ""final_completion"", ""publisher"": ""final_completion"", ""copyright"": ""final_completion"", ""comment"": ""final_completion"", ""isrc"": ""final_completion""}"
Dax -  Place Of Peace.mp3,/app/input_media/Dax -  Place Of Peace.mp3,Place Of Peace,Dax,From A Man's Perspective,Dax,2024,2024-12-06,pop,popular music,balanced,balanced,medium,0.58,0.428,F minor,English,mixed instrumentation,vocal,balanced music,retail background,all weather,all season,general,3,1,Dax,Columbia Records,(c) 2024 Columbia Records,96,not listed in free sources,Columbia Records,None,yes,https://coverartarchive.org/release/48e7858a-6097-4709-9874-b6e10703cfc9/40605316048.jpg,0.876,completed_with_inference,none,"{""title"": ""deezer, itunes, lastfm, local_cleanup"", ""artist"": ""deezer, existing_file_tag, itunes, local_cleanup, musicbrainz"", ""date"": ""existing_file_tag, itunes, musicbrainz"", ""year"": ""discogs, existing_file_tag, itunes, musicbrainz"", ""album"": ""deezer, itunes, musicbrainz"", ""album_artist"": ""deezer, itunes, musicbrainz"", ""track_number"": ""discogs, itunes, musicbrainz"", ""disc_number"": ""itunes, musicbrainz"", ""cover_art_url"": ""cover_art_archive"", ""label"": ""musicbrainz"", ""catalog_number"": ""musicbrainz"", ""danceability"": ""essentia_features"", ""key"": ""essentia_features"", ""bpm"": ""essentia_features, rules_inference"", ""analysis_summary"": ""essentia_features"", ""energy"": ""final_completion"", ""mood"": ""final_completion"", ""moods"": ""final_completion"", ""valence"": ""final_completion"", ""occasion"": ""final_completion"", ""themes"": ""final_completion"", ""weather"": ""final_completion"", ""season"": ""final_completion"", ""age_group"": ""final_completion"", ""vocals"": ""final_completion"", ""instruments"": ""final_completion"", ""language"": ""final_completion"", ""publisher"": ""final_completion"", ""composer"": ""final_completion"", ""copyright"": ""final_completion"", ""comment"": ""final_completion"", ""isrc"": ""final_completion""}"
Dax -  Soldier  (Feat. Tom MacDonald).mp3,/app/input_media/Dax -  Soldier  (Feat. Tom MacDonald).mp3,Soldier,Dax,Soldier,Dax & Tom MacDonald,2024,2024-11-08,pop,popular music,energetic,energetic,high,0.68,0.344,F# minor,English,mixed instrumentation,vocal,energetic music,busy store,all weather,all season,general,1,1,Dax,Columbia,(c) 2024 Columbia,140,USQX92405381,Columbia,None,yes,https://coverartarchive.org/release/d951f16c-cb63-4456-816d-12ac80436a50/45521981507.jpg,0.821,completed_with_inference,none,"{""title"": ""deezer, lastfm, local_cleanup, musicbrainz"", ""artist"": ""deezer, existing_file_tag, local_cleanup"", ""date"": ""existing_file_tag, musicbrainz"", ""year"": ""existing_file_tag, musicbrainz"", ""album"": ""musicbrainz"", ""album_artist"": ""musicbrainz"", ""cover_art_url"": ""cover_art_archive"", ""track_number"": ""musicbrainz"", ""disc_number"": ""musicbrainz"", ""isrc"": ""musicbrainz"", ""label"": ""musicbrainz"", ""catalog_number"": ""musicbrainz"", ""danceability"": ""essentia_features"", ""key"": ""essentia_features"", ""bpm"": ""essentia_features, rules_inference"", ""analysis_summary"": ""essentia_features"", ""mood"": ""rules_inference"", ""energy"": ""rules_inference"", ""moods"": ""final_completion"", ""valence"": ""final_completion"", ""occasion"": ""final_completion"", ""themes"": ""final_completion"", ""weather"": ""final_completion"", ""season"": ""final_completion"", ""age_group"": ""final_completion"", ""vocals"": ""final_completion"", ""instruments"": ""final_completion"", ""language"": ""final_completion"", ""publisher"": ""final_completion"", ""composer"": ""final_completion"", ""copyright"": ""final_completion"", ""comment"": ""final_completion""}"
Djämes Braun - Fugle.mp3,/app/input_media/Djämes Braun - Fugle.mp3,Fugle,Djämes Braun,Fugle,Djämes Braun,2014,2014-08-18,Pop,Pop,mainstream,mainstream,medium,0.58,0.433,G minor,unknown,mixed instrumentation,vocal,mainstream Pop,retail background,all weather,all season,youth/adult,1,1,Lasse Kramhøft,Warner Music Denmark,(c) 2014 Warner Music Denmark,118,not listed in free sources,Warner Music Denmark,None,yes,https://i.discogs.com/o8KPVKc3oZuZMVwkPD8P2sNoNGniKgjGgNLnvfU3HTc/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTY2ODUz/OTktMTQyNjI3MDE3/MC01MTI4LmpwZWc.jpeg,0.904,validated,none,"{""title"": ""lastfm, local_cleanup, musicbrainz"", ""artist"": ""existing_file_tag, lastfm, local_cleanup, musicbrainz"", ""date"": ""discogs, existing_file_tag, musicbrainz"", ""year"": ""discogs, existing_file_tag, musicbrainz"", ""album"": ""discogs, lastfm, musicbrainz"", ""album_artist"": ""musicbrainz"", ""track_number"": ""discogs, musicbrainz"", ""disc_number"": ""musicbrainz"", ""label"": ""musicbrainz"", ""catalog_number"": ""musicbrainz"", ""cover_art_url"": ""discogs"", ""genre"": ""discogs"", ""composer"": ""discogs"", ""danceability"": ""essentia_features"", ""key"": ""essentia_features"", ""bpm"": ""essentia_features, rules_inference"", ""analysis_summary"": ""essentia_features"", ""mood"": ""rules_inference"", ""energy"": ""rules_inference"", ""moods"": ""final_completion"", ""subgenre"": ""final_completion"", ""valence"": ""final_completion"", ""occasion"": ""final_completion"", ""themes"": ""final_completion"", ""weather"": ""final_completion"", ""season"": ""final_completion"", ""age_group"": ""final_completion"", ""vocals"": ""final_completion"", ""instruments"": ""final_completion"", ""language"": ""final_completion"", ""publisher"": ""final_completion"", ""copyright"": ""final_completion"", ""comment"": ""final_completion"", ""isrc"": ""final_completion""}"
Gigis - Gertrud.mp3,/app/input_media/Gigis - Gertrud.mp3,Gertrud,Gigis,Gertrud,Gigis,2017,2017-02-15,Pop,Pop,mainstream,mainstream,medium,0.58,0.401,Bb minor,English,mixed instrumentation,vocal,mainstream Pop,retail background,all weather,all season,youth/adult,1,1,Kewan Hussein,disco:wax,(c) 2017 disco:wax,116,DK4YA1700701,disco:wax,none,yes,https://i.discogs.com/hXokOCIJT5zV9yvWXvawz0g7QmIwyL2q7h_N1sFwHAE/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwNDIx/MTIzLTE0OTcwOTM0/NTUtMTk1Mi5qcGVn.jpeg,0.899,validated,none,"{""title"": ""deezer, itunes, lastfm, local_cleanup, musicbrainz"", ""artist"": ""deezer, existing_file_tag, itunes, lastfm, local_cleanup, musicbrainz"", ""date"": ""deezer, itunes"", ""year"": ""deezer, discogs, existing_file_tag, itunes, musicbrainz"", ""album"": ""deezer, discogs, lastfm"", ""album_artist"": ""deezer, itunes, musicbrainz"", ""genre"": ""deezer, discogs, itunes"", ""track_number"": ""discogs, itunes"", ""disc_number"": ""itunes, musicbrainz"", ""cover_art_url"": ""discogs"", ""isrc"": ""musicbrainz"", ""composer"": ""discogs"", ""label"": ""discogs"", ""catalog_number"": ""discogs"", ""danceability"": ""essentia_features"", ""key"": ""essentia_features"", ""bpm"": ""essentia_features, rules_inference"", ""analysis_summary"": ""essentia_features"", ""mood"": ""rules_inference"", ""energy"": ""rules_inference"", ""moods"": ""final_completion"", ""subgenre"": ""final_completion"", ""valence"": ""final_completion"", ""occasion"": ""final_completion"", ""themes"": ""final_completion"", ""weather"": ""final_completion"", ""season"": ""final_completion"", ""age_group"": ""final_completion"", ""vocals"": ""final_completion"", ""instruments"": ""final_completion"", ""language"": ""final_completion"", ""publisher"": ""final_completion"", ""copyright"": ""final_completion"", ""comment"": ""final_completion""}"
Habibi - Aiwa.mp3,/app/input_media/Habibi - Aiwa.mp3,Habibi Aiwa,unknown artist,Habibi Aiwa,unknown artist,2017,2017-05-11,pop,popular music,balanced,balanced,medium,0.58,0.369,C minor,English,mixed instrumentation,vocal,balanced music,retail background,all weather,all season,general,1,1,unknown composer,not listed in free sources,not listed in free sources,110,not listed in free sources,not listed in free sources,not listed in free sources,yes,embedded or not listed in free sources,0.714,completed_with_inference,none,"{""title"": ""existing_file_tag"", ""date"": ""existing_file_tag"", ""year"": ""existing_file_tag"", ""danceability"": ""essentia_features"", ""key"": ""essentia_features"", ""bpm"": ""essentia_features, rules_inference"", ""analysis_summary"": ""essentia_features"", ""album"": ""final_completion"", ""track_number"": ""final_completion"", ""disc_number"": ""final_completion"", ""energy"": ""final_completion"", ""mood"": ""final_completion"", ""moods"": ""final_completion"", ""valence"": ""final_completion"", ""occasion"": ""final_completion"", ""themes"": ""final_completion"", ""weather"": ""final_completion"", ""season"": ""final_completion"", ""age_group"": ""final_completion"", ""vocals"": ""final_completion"", ""instruments"": ""final_completion"", ""language"": ""final_completion"", ""comment"": ""final_completion"", ""isrc"": ""final_completion"", ""catalog_number"": ""final_completion"", ""cover_art_url"": ""final_completion""}"
